SegmentsId,ObservationTime
1666956,[['08:49:00', '09:08:00'], ['16:48:00', '16:53:00']]
186563,[['08:53:00']]
426181,[['08:53:00', '09:18:00']]
1152181,[['08:53:00', '09:18:00']]
1156360,[['08:53:00', '09:14:00']]
3023461,[['08:53:00', '09:08:00']]
211474,[['08:58:00', '09:08:00']]
233251,[['08:58:00']]
299524,[['08:58:00', '09:18:00']]
452504,[['08:58:00', '09:18:00']]
452505,[['08:58:00', '09:18:00']]
1735329,[['08:58:00', '09:14:00']]
3969957,[['08:58:00', '09:08:00']]
129277,[['09:03:00', '09:18:00']]
146227,[['09:03:00', '09:18:00']]
146228,[['09:03:00', '09:18:00']]
310950,[['09:03:00', '09:14:00']]
310951,[['09:03:00', '09:14:00']]
397223,[['09:03:00', '09:18:00']]
445553,[['09:03:00', '09:14:00']]
627338,[['09:03:00', '09:18:00']]
1062511,[['09:03:00', '09:18:00']]
1496117,[['09:03:00']]
1666460,[['09:03:00']]
1666461,[['09:03:00']]
3640847,[['09:03:00']]
1531370,[['09:08:00']]
4286440,[['09:08:00', '09:18:00']]
4273027,[['09:08:00', '09:18:00']]
1990114,[['09:08:00', '09:18:00']]
1967855,[['09:08:00', '09:18:00']]
1178858,[['09:08:00', '09:18:00']]
445552,[['09:08:00']]
336152,[['09:08:00', '09:18:00']]
310949,[['09:08:00', '09:14:00']]
168190,[['09:08:00', '09:18:00']]
33137,[['09:08:00', '09:14:00']]
273853,[['09:14:00', '09:18:00']]
304312,[['09:14:00', '09:18:00']]
932313,[['09:14:00', '09:18:00']]
1200953,[['09:14:00', '09:18:00']]
18046,[['09:14:00', '09:18:00'], ['15:53:00', '16:13:00']]
1200954,[['09:14:00', '09:18:00']]
1697511,[['09:14:00', '09:18:00']]
3594394,[['09:14:00', '09:18:00']]
3594395,[['09:14:00', '09:18:00']]
3594396,[['09:14:00', '09:18:00']]
3594397,[['09:14:00', '09:18:00']]
170656,[['09:18:00']]
197988,[['09:18:00'], ['18:48:00']]
213657,[['09:18:00'], ['12:30:00', '12:48:00']]
213658,[['09:18:00']]
213659,[['09:18:00']]
213660,[['09:18:00']]
304120,[['09:18:00']]
518318,[['09:18:00']]
518319,[['09:18:00']]
518320,[['09:18:00']]
1284245,[['09:18:00']]
1740770,[['09:18:00']]
1945867,[['09:18:00']]
6981,[['09:58:00']]
6982,[['09:58:00']]
19208,[['09:58:00', '10:18:00']]
30245,[['09:58:00', '10:03:00']]
44780,[['09:58:00', '10:18:00']]
48353,[['09:58:00', '10:23:00']]
54065,[['09:58:00', '10:08:00']]
64543,[['09:58:00', '10:03:00']]
64544,[['09:58:00', '10:08:00']]
64545,[['09:58:00', '10:13:00']]
218461,[['09:58:00', '10:08:00']]
329245,[['09:58:00']]
333443,[['09:58:00', '10:18:00']]
343514,[['09:58:00']]
347178,[['09:58:00', '10:13:00']]
352508,[['09:58:00']]
362738,[['09:58:00']]
375625,[['09:58:00', '10:13:00']]
378986,[['09:58:00']]
378987,[['09:58:00']]
397147,[['09:58:00', '10:13:00']]
400875,[['09:58:00', '10:08:00'], ['17:18:00', '17:38:00']]
424076,[['09:58:00']]
428169,[['09:58:00', '10:03:00']]
442502,[['09:58:00', '10:13:00']]
878833,[['09:58:00', '10:03:00']]
959538,[['09:58:00', '10:03:00']]
1079374,[['09:58:00']]
