SegmentsId,ObservationTime
181775,[['11:38:00', '11:53:00']]
3523540,[['11:38:00', '11:58:00']]
3523539,[['11:38:00', '11:58:00']]
630673,[['11:43:00'], ['15:18:00', '15:23:00']]
625645,[['11:43:00', '11:48:00']]
494725,[['11:43:00', '11:48:00']]
446299,[['11:43:00', '12:03:00']]
316860,[['11:43:00', '12:08:00']]
284878,[['11:43:00', '11:58:00']]
232897,[['11:43:00', '12:03:00']]
190141,[['11:43:00', '12:08:00']]
62294,[['11:43:00', '12:03:00']]
3895938,[['11:43:00', '12:03:00']]
3528538,[['11:43:00', '12:03:00']]
2949332,[['11:43:00', '12:03:00']]
2656877,[['11:43:00', '12:03:00']]
2656876,[['11:43:00', '12:03:00']]
1975574,[['11:43:00', '12:08:00']]
1945874,[['11:43:00', '12:03:00']]
1475075,[['11:43:00', '12:03:00']]
1414969,[['11:43:00', '11:58:00']]
2004239,[['11:48:00']]
2624955,[['11:48:00', '12:08:00']]
3426092,[['11:48:00', '12:08:00']]
237220,[['11:48:00', '12:03:00']]
117171,[['11:48:00', '11:58:00']]
641844,[['11:48:00', '11:53:00']]
1450494,[['11:48:00', '12:08:00']]
1450495,[['11:48:00', '12:08:00']]
1450499,[['11:48:00', '11:58:00']]
1450500,[['11:48:00', '12:08:00']]
1450501,[['11:48:00', '12:08:00']]
1987892,[['11:53:00', '12:13:00']]
1818089,[['11:53:00', '12:13:00']]
1674633,[['11:53:00', '12:13:00']]
1555549,[['11:53:00', '12:03:00']]
1555548,[['11:53:00', '12:03:00']]
1521751,[['11:53:00']]
1008392,[['11:53:00', '12:08:00']]
1008391,[['11:53:00', '12:08:00']]
914302,[['11:53:00', '12:13:00']]
485035,[['11:53:00', '12:13:00'], ['22:24:00', '22:38:00']]
374425,[['11:53:00', '12:18:00']]
374424,[['11:53:00', '12:18:00']]
343753,[['11:53:00', '12:08:00']]
285815,[['11:53:00', '12:18:00']]
92498,[['11:53:00', '12:08:00']]
61784,[['11:53:00', '12:13:00']]
39119,[['11:58:00', '12:18:00']]
190478,[['11:58:00']]
255219,[['11:58:00', '12:23:00']]
300140,[['11:58:00']]
327103,[['11:58:00', '12:23:00']]
356892,[['11:58:00']]
384193,[['11:58:00', '12:23:00']]
1090519,[['11:58:00', '12:03:00']]
1090520,[['11:58:00', '12:03:00']]
1549695,[['11:58:00']]
3341298,[['11:58:00', '12:13:00']]
3531404,[['11:58:00', '12:13:00']]
133479,[['12:03:00', '12:08:00']]
214529,[['12:03:00', '12:23:00']]
260997,[['12:03:00', '12:23:00']]
1003165,[['12:03:00', '12:18:00']]
1692144,[['12:03:00', '12:08:00']]
1813191,[['12:03:00', '12:30:00']]
3144182,[['12:03:00', '12:23:00']]
3253872,[['12:03:00', '12:18:00']]
1958834,[['12:08:00']]
53083,[['12:08:00', '12:13:00'], ['12:48:00']]
202177,[['12:08:00', '12:23:00']]
233203,[['12:08:00', '12:23:00']]
347162,[['12:08:00', '12:30:00']]
400850,[['12:08:00', '12:13:00']]
422151,[['12:08:00']]
455108,[['12:08:00']]
1685601,[['12:08:00', '12:23:00']]
2008653,[['12:08:00', '12:18:00'], ['15:13:00', '15:33:00']]
2653507,[['12:08:00', '12:18:00']]
3321066,[['12:08:00', '12:30:00']]
356912,[['12:13:00']]
383048,[['12:13:00', '12:38:00']]
391801,[['12:13:00', '12:33:00']]
391802,[['12:13:00', '12:33:00']]
440992,[['12:13:00', '12:33:00']]
1112665,[['12:13:00']]
1733881,[['12:13:00', '12:23:00']]
53374,[['12:13:00', '12:23:00']]
3776571,[['12:13:00', '12:38:00']]
2623351,[['12:13:00', '12:18:00'], ['13:14:00', '13:33:00']]
2265007,[['12:13:00', '12:23:00']]
2124370,[['12:13:00', '12:33:00']]
265210,[['12:13:00']]
1687617,[['12:18:00']]
1538712,[['12:18:00', '12:23:00']]
963396,[['12:18:00', '12:30:00']]
387914,[['12:18:00', '12:38:00']]
343574,[['12:18:00', '12:38:00']]
330346,[['12:18:00', '12:23:00']]
310285,[['12:18:00', '12:38:00']]
144989,[['12:23:00', '12:38:00']]
298010,[['12:23:00']]
348901,[['12:23:00']]
387905,[['12:23:00', '12:38:00']]
404361,[['12:23:00', '12:43:00']]
1196844,[['12:23:00']]
1196845,[['12:23:00']]
1196846,[['12:23:00']]
1196847,[['12:23:00']]
1196848,[['12:23:00']]
1196849,[['12:23:00', '12:30:00']]
3430629,[['12:23:00']]
3605274,[['12:23:00']]
3702601,[['12:23:00', '12:38:00']]
3702602,[['12:23:00', '12:38:00']]
38161,[['12:30:00', '12:33:00']]
74315,[['12:30:00']]
202680,[['12:30:00', '12:48:00']]
295640,[['12:30:00', '12:53:00']]
300381,[['12:30:00']]
6115,[['12:30:00', '12:43:00']]
484577,[['12:30:00', '12:33:00']]
2003121,[['12:30:00', '12:53:00']]
2003122,[['12:30:00', '12:53:00']]
2590377,[['12:30:00', '12:43:00']]
2596868,[['12:30:00', '12:43:00']]
2596869,[['12:30:00', '12:48:00']]
2596870,[['12:30:00', '12:48:00']]
2596871,[['12:30:00', '12:48:00']]
2596872,[['12:30:00', '12:48:00']]
2977450,[['12:30:00', '12:48:00']]
46035,[['12:30:00']]
46034,[['12:30:00']]
42227,[['12:33:00', '12:58:00']]
50746,[['12:33:00', '12:53:00']]
195001,[['12:33:00', '12:43:00'], ['13:18:00', '13:28:00']]
330154,[['12:33:00', '12:53:00']]
330155,[['12:33:00', '12:53:00']]
332289,[['12:33:00', '12:43:00']]
346063,[['12:33:00', '12:53:00']]
411529,[['12:33:00', '12:48:00']]
1962018,[['12:33:00', '12:43:00'], ['15:58:00', '16:13:00']]
2611882,[['12:33:00', '12:53:00']]
147326,[['12:38:00', '12:58:00']]
188772,[['12:38:00', '12:58:00']]
294799,[['12:38:00']]
1807393,[['12:38:00', '13:03:00']]
3788811,[['12:38:00', '12:53:00']]
3864983,[['12:38:00']]
3919158,[['12:43:00']]
1311334,[['12:43:00', '12:58:00']]
648517,[['12:43:00']]
620933,[['12:43:00', '12:53:00']]
306207,[['12:43:00']]
287671,[['12:43:00', '12:48:00']]
179591,[['12:43:00', '13:08:00']]
168628,[['12:43:00', '13:03:00']]
65814,[['12:43:00', '13:03:00']]
62059,[['12:43:00', '12:48:00']]
40562,[['12:43:00']]
40561,[['12:43:00', '13:14:00']]
30457,[['12:48:00', '13:14:00']]
173140,[['12:48:00', '13:08:00']]
189083,[['12:48:00', '13:08:00']]
326965,[['12:48:00']]
332179,[['12:48:00', '13:08:00']]
405989,[['12:48:00', '12:53:00']]
444260,[['12:48:00', '13:08:00']]
483954,[['12:48:00']]
3236221,[['12:48:00', '13:08:00']]
3236222,[['12:48:00', '13:08:00']]
3236223,[['12:48:00', '13:08:00']]
3236224,[['12:48:00', '13:08:00']]
3791863,[['12:48:00']]
3859144,[['12:48:00', '13:08:00']]
3859145,[['12:48:00', '13:08:00']]
1071601,[['12:48:00', '12:58:00']]
35130,[['12:53:00', '13:14:00']]
40877,[['12:53:00', '13:03:00']]
143003,[['12:53:00', '13:08:00']]
273656,[['12:53:00', '13:08:00']]
273657,[['12:53:00', '13:08:00']]
273658,[['12:53:00', '13:08:00']]
275183,[['12:53:00', '13:14:00']]
399471,[['12:53:00', '13:03:00']]
1508858,[['12:53:00', '13:14:00']]
1535321,[['12:53:00', '13:03:00']]
1838236,[['12:53:00', '13:08:00']]
1838237,[['12:53:00', '13:14:00']]
1838238,[['12:53:00', '13:14:00']]
1985162,[['12:53:00', '13:03:00']]
2722155,[['12:53:00', '13:03:00']]
60583,[['12:58:00', '13:03:00']]
3714734,[['12:58:00', '13:18:00']]
1680287,[['12:58:00', '13:03:00']]
1511192,[['12:58:00', '13:14:00']]
1471475,[['12:58:00', '13:18:00']]
1227493,[['12:58:00']]
1227492,[['12:58:00']]
652362,[['12:58:00', '13:23:00']]
459280,[['12:58:00', '13:08:00']]
413709,[['12:58:00', '13:03:00']]
267237,[['12:58:00', '13:14:00']]
317370,[['12:58:00', '13:08:00']]
70063,[['13:03:00', '13:08:00']]
220975,[['13:03:00', '13:23:00']]
220976,[['13:03:00', '13:23:00']]
282504,[['13:03:00', '13:08:00']]
335585,[['13:03:00']]
387200,[['13:03:00', '13:14:00']]
930944,[['13:03:00', '13:28:00']]
1492474,[['13:03:00']]
1521930,[['13:03:00', '13:23:00']]
1747642,[['13:03:00', '13:23:00']]
1814526,[['13:03:00', '13:23:00']]
70062,[['13:08:00', '13:18:00']]
73834,[['13:08:00']]
3918593,[['13:08:00', '13:28:00']]
207721,[['13:08:00', '13:33:00']]
306409,[['13:08:00', '13:18:00']]
324816,[['13:08:00', '13:14:00']]
326995,[['13:08:00', '13:23:00']]
349245,[['13:08:00', '13:18:00']]
478796,[['13:08:00', '13:28:00']]
485779,[['13:08:00', '13:28:00']]
926595,[['13:08:00'], ['21:39:00', '21:58:00']]
1224618,[['13:08:00', '13:33:00']]
1667501,[['13:08:00', '13:33:00']]
2658846,[['13:08:00', '13:18:00']]
3362320,[['13:08:00', '13:28:00']]
3742259,[['13:08:00', '13:28:00']]
521039,[['13:14:00', '13:18:00']]
3560540,[['13:14:00', '13:23:00']]
3315220,[['13:14:00', '13:18:00'], ['14:58:00', '15:13:00'], ['15:38:00', '15:58:00'], ['16:38:00', '16:58:00']]
2623350,[['13:14:00', '13:33:00']]
1746869,[['13:14:00', '13:28:00']]
1683477,[['13:14:00', '13:28:00']]
883591,[['13:14:00', '13:23:00']]
631368,[['13:14:00'], ['16:43:00', '16:48:00'], ['17:23:00'], ['21:39:00', '21:58:00']]
420954,[['13:14:00', '13:28:00']]
385408,[['13:14:00', '13:28:00']]
277775,[['13:14:00', '13:33:00']]
252086,[['13:14:00', '13:38:00']]
251211,[['13:14:00', '13:33:00']]
21802,[['13:14:00', '13:28:00']]
1509,[['13:14:00']]
1508,[['13:14:00']]
15485,[['13:18:00', '13:43:00']]
50667,[['13:18:00', '13:43:00']]
50668,[['13:18:00']]
309953,[['13:18:00']]
920310,[['13:18:00', '13:38:00']]
925346,[['13:18:00', '13:38:00']]
1061467,[['13:18:00', '13:38:00']]
1981168,[['13:18:00', '13:23:00']]
2597003,[['13:18:00', '13:38:00']]
3784918,[['13:18:00', '13:43:00']]
64875,[['13:23:00']]
194667,[['13:23:00', '13:38:00']]
278762,[['13:23:00', '13:38:00']]
346581,[['13:23:00', '13:38:00']]
428532,[['13:23:00', '13:43:00']]
447956,[['13:23:00', '13:48:00']]
523068,[['13:23:00', '13:43:00']]
637897,[['13:23:00', '13:43:00']]
1524982,[['13:23:00']]
1740676,[['13:23:00', '13:33:00']]
1945868,[['13:23:00', '13:48:00']]
1945869,[['13:23:00', '13:43:00']]
1959975,[['13:23:00', '13:38:00']]
2655417,[['13:23:00', '13:38:00']]
3810588,[['13:23:00']]
58048,[['13:28:00', '13:48:00']]
79669,[['13:28:00', '13:33:00']]
211887,[['13:28:00', '13:43:00']]
289453,[['13:28:00', '13:48:00'], ['20:48:00', '21:08:00']]
359353,[['13:28:00', '13:53:00']]
3709650,[['13:28:00']]
22024,[['13:33:00']]
27489,[['13:33:00']]
27490,[['13:33:00']]
27491,[['13:33:00', '13:38:00']]
27492,[['13:33:00', '13:38:00']]
47991,[['13:33:00', '13:53:00']]
113051,[['13:33:00', '13:58:00']]
213153,[['13:33:00', '13:58:00']]
249323,[['13:33:00', '13:38:00']]
489100,[['13:33:00']]
1175606,[['13:33:00', '13:58:00']]
1229756,[['13:33:00']]
1764637,[['13:33:00', '13:53:00']]
3022407,[['13:33:00', '13:43:00']]
3663268,[['13:33:00'], ['15:29:00']]
3767409,[['13:33:00', '13:48:00']]
3767410,[['13:33:00', '13:48:00']]
22947,[['13:38:00', '13:48:00']]
185801,[['13:38:00']]
238985,[['13:38:00', '13:58:00']]
260801,[['13:38:00']]
323144,[['13:38:00', '13:48:00']]
327605,[['13:38:00', '13:53:00']]
331961,[['13:38:00']]
377854,[['13:38:00', '13:58:00']]
627027,[['13:38:00', '13:53:00']]
634306,[['13:38:00', '13:58:00']]
919789,[['13:38:00', '14:03:00']]
929477,[['13:38:00', '13:58:00']]
1971977,[['13:38:00', '13:43:00']]
2277325,[['13:38:00', '13:58:00']]
2277326,[['13:38:00', '13:58:00']]
3245360,[['13:38:00', '13:58:00']]
52328,[['13:43:00', '13:53:00']]
363181,[['13:43:00', '13:53:00']]
492213,[['13:43:00', '14:03:00']]
2574029,[['13:43:00', '14:08:00']]
48792,[['13:48:00', '14:03:00']]
332087,[['13:48:00', '14:08:00']]
652359,[['13:48:00', '13:58:00']]
1550005,[['13:48:00', '14:08:00']]
1727205,[['13:48:00']]
1727206,[['13:48:00']]
1739703,[['13:48:00']]
2574454,[['13:48:00', '14:03:00']]
2574455,[['13:48:00', '14:08:00']]
2574456,[['13:48:00', '14:08:00']]
2574457,[['13:48:00', '14:08:00']]
57805,[['13:53:00', '13:58:00']]
270934,[['13:53:00', '14:08:00']]
441350,[['13:53:00', '14:18:00']]
1405155,[['13:53:00', '14:18:00']]
1520084,[['13:53:00']]
1733775,[['13:53:00', '14:13:00']]
1790882,[['13:53:00', '14:13:00']]
2007098,[['13:53:00', '14:03:00'], ['18:08:00']]
2007099,[['13:53:00', '14:03:00'], ['18:03:00', '18:08:00']]
80718,[['13:58:00', '14:18:00']]
173446,[['13:58:00', '14:23:00']]
271538,[['13:58:00', '14:18:00']]
283131,[['13:58:00', '14:13:00']]
348089,[['13:58:00', '14:18:00']]
349465,[['13:58:00']]
388783,[['13:58:00', '14:18:00']]
426688,[['13:58:00', '14:18:00']]
629493,[['13:58:00', '14:23:00']]
1030176,[['13:58:00', '14:18:00']]
1041984,[['13:58:00', '14:03:00']]
1247002,[['13:58:00']]
1322710,[['13:58:00']]
1532923,[['13:58:00', '14:18:00']]
75123,[['14:03:00']]
4829,[['14:03:00', '14:23:00']]
255246,[['14:03:00', '14:18:00']]
336130,[['14:03:00', '14:13:00']]
415823,[['14:03:00', '14:18:00']]
3988465,[['14:03:00']]
3594283,[['14:08:00', '14:28:00']]
2976378,[['14:08:00', '14:28:00']]
2127649,[['14:08:00', '14:33:00']]
1831520,[['14:08:00', '14:28:00']]
1433021,[['14:08:00', '14:28:00']]
1433020,[['14:08:00', '14:28:00']]
1293257,[['14:08:00']]
931402,[['14:08:00', '14:28:00']]
637460,[['14:08:00', '14:28:00']]
637459,[['14:08:00', '14:28:00']]
637458,[['14:08:00', '14:23:00']]
627456,[['14:08:00', '14:23:00']]
529877,[['14:08:00']]
59437,[['14:08:00', '14:33:00']]
37013,[['14:08:00', '14:13:00'], ['22:38:00', '22:58:00']]
187594,[['14:08:00', '14:28:00']]
258325,[['14:08:00', '14:28:00']]
343991,[['14:08:00', '14:33:00']]
924670,[['14:13:00', '14:38:00']]
159450,[['14:13:00', '14:33:00']]
328410,[['14:13:00', '14:33:00']]
350145,[['14:13:00', '14:33:00']]
1196461,[['14:13:00', '14:38:00']]
1283038,[['14:13:00', '14:33:00']]
1283105,[['14:13:00', '14:38:00']]
1731150,[['14:13:00', '14:18:00']]
1753348,[['14:13:00', '14:38:00']]
1930982,[['14:13:00', '14:33:00']]
1930983,[['14:13:00', '14:33:00']]
1930984,[['14:13:00', '14:33:00']]
3608248,[['14:13:00', '14:23:00']]
3913570,[['14:13:00', '14:28:00']]
4258872,[['14:13:00']]
3555341,[['14:18:00']]
3844957,[['14:18:00', '14:38:00']]
1441481,[['14:18:00', '14:38:00']]
385367,[['14:18:00', '14:38:00']]
1750154,[['14:23:00', '14:43:00']]
1069987,[['14:23:00', '14:43:00']]
937822,[['14:23:00', '14:48:00']]
485550,[['14:23:00', '14:38:00']]
485549,[['14:23:00', '14:38:00']]
251545,[['14:23:00', '14:43:00']]
239384,[['14:23:00', '14:43:00']]
1913554,[['14:23:00', '14:43:00']]
10189,[['14:23:00', '14:43:00']]
194735,[['14:28:00', '14:43:00']]
3825071,[['14:28:00', '14:48:00']]
2615349,[['14:28:00', '14:33:00']]
1205618,[['14:28:00', '14:48:00']]
1748795,[['14:28:00', '14:38:00']]
1537512,[['14:28:00']]
1484531,[['14:28:00', '14:33:00']]
1484401,[['14:28:00']]
1281371,[['14:28:00', '14:48:00']]
194737,[['14:28:00', '14:43:00']]
318254,[['14:28:00', '14:53:00']]
375136,[['14:28:00', '14:38:00']]
118680,[['14:28:00', '14:33:00']]
5321,[['14:28:00'], ['21:33:00', '21:43:00']]
1208417,[['14:33:00', '14:58:00']]
1169297,[['14:33:00', '14:53:00']]
1169296,[['14:33:00', '14:53:00']]
1169295,[['14:33:00', '14:53:00']]
1138362,[['14:33:00']]
1077018,[['14:33:00', '14:48:00']]
1074296,[['14:33:00', '14:53:00']]
1074295,[['14:33:00', '14:53:00']]
623565,[['14:33:00', '14:58:00']]
409991,[['14:33:00', '14:38:00']]
259954,[['14:33:00', '14:43:00'], ['15:29:00', '15:43:00']]
220835,[['14:33:00', '14:43:00']]
174275,[['14:33:00', '14:53:00']]
2976191,[['14:33:00', '14:58:00']]
2601247,[['14:33:00', '14:38:00']]
1971217,[['14:33:00', '14:53:00']]
1966523,[['14:33:00', '14:38:00']]
1966522,[['14:33:00', '14:38:00']]
1337884,[['14:33:00', '14:58:00']]
2005,[['14:38:00', '14:43:00']]
45786,[['14:38:00', '14:53:00']]
337595,[['14:38:00', '14:43:00']]
378240,[['14:38:00', '15:03:00']]
430976,[['14:38:00', '14:58:00']]
443443,[['14:38:00', '14:43:00']]
443444,[['14:38:00', '14:43:00']]
1234902,[['14:38:00', '14:48:00']]
1462814,[['14:38:00', '14:43:00']]
1739447,[['14:38:00', '14:48:00']]
1993378,[['14:38:00', '14:58:00']]
2161903,[['14:38:00', '14:48:00']]
3863591,[['14:38:00', '15:03:00']]
4267624,[['14:38:00']]
4080853,[['14:43:00', '14:58:00']]
2006,[['14:43:00'], ['15:48:00', '15:53:00']]
40690,[['14:43:00']]
304485,[['14:43:00', '15:03:00']]
335632,[['14:43:00']]
352510,[['14:43:00', '15:08:00']]
409358,[['14:43:00', '14:53:00']]
493829,[['14:43:00', '15:03:00']]
1017569,[['14:43:00', '14:48:00']]
1077015,[['14:43:00', '14:48:00']]
1077016,[['14:43:00', '14:48:00']]
1299881,[['14:43:00', '14:48:00']]
1553154,[['14:43:00', '14:48:00']]
2596948,[['14:43:00', '15:03:00']]
2596949,[['14:43:00', '15:03:00']]
3615628,[['14:43:00']]
3615629,[['14:43:00', '14:48:00']]
3324440,[['14:48:00', '14:53:00']]
303189,[['14:48:00', '15:08:00']]
380697,[['14:48:00', '15:13:00']]
478938,[['14:48:00', '15:03:00']]
501250,[['14:48:00', '14:58:00']]
514846,[['14:48:00']]
1212515,[['14:48:00', '14:53:00']]
1231663,[['14:48:00']]
1434687,[['14:48:00', '14:53:00']]
1456714,[['14:48:00']]
2411921,[['14:48:00']]
3324441,[['14:48:00', '14:53:00']]
3324442,[['14:48:00', '14:53:00']]
3648979,[['14:48:00', '14:53:00']]
3648980,[['14:48:00', '14:53:00']]
3800209,[['14:48:00']]
4012339,[['14:48:00', '14:53:00']]
4269519,[['14:48:00', '14:53:00']]
186811,[['14:53:00', '15:13:00']]
283211,[['14:53:00', '15:03:00']]
314943,[['14:53:00', '15:13:00']]
921375,[['14:53:00', '15:13:00']]
951698,[['14:53:00', '15:13:00']]
1067979,[['14:53:00', '15:13:00']]
1078346,[['14:53:00']]
1480308,[['14:53:00', '14:58:00']]
1543407,[['14:53:00', '15:13:00']]
1659259,[['14:53:00', '15:18:00']]
2626013,[['14:53:00', '15:13:00']]
3324439,[['14:53:00']]
3703339,[['14:53:00', '15:13:00']]
3759360,[['14:53:00', '15:13:00']]
3759361,[['14:53:00', '15:13:00']]
3336819,[['14:58:00', '15:18:00']]
2008638,[['14:58:00', '15:03:00']]
1803951,[['14:58:00', '15:18:00']]
4259010,[['14:58:00', '15:08:00']]
1306727,[['14:58:00', '15:08:00']]
215141,[['14:58:00', '15:23:00']]
57244,[['14:58:00', '15:03:00']]
33881,[['14:58:00', '15:18:00']]
279881,[['15:03:00', '15:18:00']]
184766,[['15:03:00', '15:08:00']]
126592,[['15:03:00', '15:18:00']]
56381,[['15:03:00', '15:23:00']]
51450,[['15:03:00', '15:18:00']]
279882,[['15:03:00', '15:23:00']]
305445,[['15:03:00', '15:13:00']]
482247,[['15:03:00', '15:18:00']]
482248,[['15:03:00', '15:18:00']]
924866,[['15:03:00', '15:18:00']]
951697,[['15:03:00', '15:13:00']]
1289817,[['15:03:00', '15:08:00']]
1289818,[['15:03:00', '15:08:00']]
1302202,[['15:03:00', '15:29:00']]
1661166,[['15:03:00', '15:23:00']]
1692846,[['15:03:00']]
3336311,[['15:03:00', '15:18:00']]
3336312,[['15:03:00', '15:23:00']]
3430639,[['15:03:00', '15:13:00']]
3506153,[['15:03:00']]
3880418,[['15:03:00', '15:18:00']]
270853,[['15:08:00', '15:29:00']]
3783129,[['15:08:00', '15:33:00']]
3771947,[['15:08:00']]
3684768,[['15:08:00', '15:23:00']]
2569890,[['15:08:00', '15:13:00']]
2569889,[['15:08:00', '15:13:00']]
1668735,[['15:08:00', '15:29:00']]
1244881,[['15:08:00', '15:33:00']]
1067813,[['15:08:00', '15:29:00']]
480886,[['15:08:00', '15:13:00']]
443561,[['15:08:00', '15:23:00']]
443560,[['15:08:00', '15:23:00'], ['15:48:00', '16:13:00']]
443559,[['15:08:00', '15:23:00'], ['15:48:00', '16:08:00']]
314135,[['15:08:00', '15:23:00']]
225667,[['15:08:00', '15:23:00']]
83167,[['15:08:00', '15:29:00']]
79668,[['15:08:00', '15:48:00'], ['17:33:00', '17:38:00']]
53234,[['15:08:00', '15:18:00']]
8724,[['15:08:00']]
1809931,[['15:13:00', '15:33:00']]
1967741,[['15:13:00', '15:23:00']]
2161858,[['15:13:00']]
2161859,[['15:13:00']]
185795,[['15:13:00', '15:23:00']]
185794,[['15:13:00', '15:23:00']]
101607,[['15:13:00', '15:33:00']]
232498,[['15:13:00', '15:29:00']]
232499,[['15:13:00', '15:29:00']]
232500,[['15:13:00', '15:33:00']]
3397045,[['15:13:00', '15:33:00']]
402041,[['15:13:00', '15:33:00']]
1302948,[['15:13:00', '15:38:00']]
3524997,[['15:18:00', '15:38:00']]
1537508,[['15:18:00']]
1397285,[['15:18:00', '15:33:00']]
494212,[['15:18:00', '15:38:00']]
422145,[['15:18:00']]
422144,[['15:18:00']]
405705,[['15:18:00', '15:33:00']]
58045,[['15:18:00', '15:23:00']]
58044,[['15:18:00', '15:23:00']]
32440,[['15:23:00', '15:48:00']]
418580,[['15:23:00']]
1302977,[['15:23:00']]
1662962,[['15:23:00'], ['16:58:00', '17:08:00']]
1662963,[['15:23:00'], ['16:58:00', '17:08:00']]
1685350,[['15:23:00']]
3551181,[['15:29:00']]
3430618,[['15:29:00']]
1791091,[['15:29:00', '15:48:00']]
1543492,[['15:29:00', '15:33:00']]
1194381,[['15:29:00', '15:38:00']]
918616,[['15:29:00', '15:43:00']]
405531,[['15:29:00', '15:48:00']]
217554,[['15:29:00']]
201799,[['15:29:00', '15:33:00']]
171179,[['15:29:00']]
816,[['15:29:00', '15:48:00']]
6005,[['15:29:00', '15:33:00']]
48995,[['15:33:00', '15:48:00']]
58803,[['15:33:00', '15:43:00']]
184646,[['15:33:00', '15:48:00']]
492191,[['15:33:00']]
515787,[['15:33:00', '15:53:00']]
1294297,[['15:33:00', '15:48:00']]
1294298,[['15:33:00', '15:48:00']]
1294299,[['15:33:00', '15:48:00']]
1542337,[['15:33:00', '15:38:00']]
1978519,[['15:33:00', '15:48:00']]
1978520,[['15:33:00', '15:48:00']]
60771,[['15:38:00', '15:53:00']]
249337,[['15:38:00', '15:43:00']]
365349,[['15:38:00', '16:04:00'], ['16:38:00', '16:58:00']]
625909,[['15:38:00']]
1317212,[['15:38:00']]
1728926,[['15:38:00', '15:48:00']]
1728927,[['15:38:00', '15:53:00']]
1728928,[['15:38:00', '15:53:00']]
2575409,[['15:38:00', '15:53:00']]
4273697,[['15:38:00', '15:43:00']]
29732,[['15:43:00']]
327429,[['15:43:00', '15:58:00']]
339381,[['15:43:00', '15:58:00']]
519006,[['15:43:00', '16:04:00']]
1199423,[['15:43:00', '15:58:00']]
1199424,[['15:43:00', '15:58:00']]
1199425,[['15:43:00', '15:58:00']]
1199426,[['15:43:00', '16:04:00']]
1208030,[['15:43:00', '15:48:00']]
1522165,[['15:43:00']]
1527176,[['15:43:00', '15:48:00']]
2973141,[['15:43:00']]
3913577,[['15:43:00']]
3611925,[['15:48:00', '15:58:00'], ['16:38:00']]
3341055,[['15:48:00']]
2590371,[['15:48:00']]
1527175,[['15:48:00']]
1515480,[['15:48:00', '16:04:00']]
1413986,[['15:48:00']]
970388,[['15:48:00']]
970387,[['15:48:00']]
970386,[['15:48:00']]
956872,[['15:48:00', '16:04:00']]
935997,[['15:48:00', '16:04:00']]
879450,[['15:48:00', '16:08:00']]
64815,[['15:48:00', '15:58:00']]
64816,[['15:48:00', '15:58:00']]
339300,[['15:48:00'], ['18:08:00', '18:19:00']]
348048,[['15:48:00', '16:08:00']]
349638,[['15:48:00', '16:08:00']]
349639,[['15:48:00', '16:08:00']]
349640,[['15:48:00', '16:13:00']]
493013,[['15:48:00', '15:53:00']]
270000,[['15:53:00']]
280838,[['15:53:00', '16:04:00']]
373207,[['15:53:00', '16:13:00']]
913646,[['15:53:00', '15:58:00']]
1517554,[['15:53:00', '16:13:00']]
1948193,[['15:53:00', '16:13:00']]
2617760,[['15:53:00', '15:58:00']]
1695868,[['15:58:00']]
1707362,[['15:58:00', '16:19:00']]
1957269,[['15:58:00', '16:23:00']]
1962019,[['15:58:00', '16:19:00']]
1962020,[['15:58:00', '16:19:00']]
1962021,[['15:58:00', '16:19:00']]
1962022,[['15:58:00', '16:23:00']]
633785,[['15:58:00']]
633784,[['15:58:00', '16:13:00']]
467787,[['15:58:00']]
387233,[['15:58:00', '16:04:00']]
306212,[['15:58:00', '16:13:00']]
336828,[['15:58:00', '16:19:00']]
3755014,[['16:04:00']]
3755015,[['16:04:00']]
3755016,[['16:04:00']]
3755017,[['16:04:00', '16:08:00']]
3755018,[['16:04:00', '16:08:00']]
3755019,[['16:04:00', '16:08:00']]
3755020,[['16:04:00', '16:08:00']]
3782335,[['16:04:00', '16:08:00']]
1915,[['16:04:00', '16:19:00']]
6118,[['16:04:00', '16:19:00']]
263569,[['16:04:00', '16:13:00']]
1597718,[['16:04:00', '16:28:00']]
417423,[['16:04:00', '16:08:00']]
465129,[['16:04:00', '16:13:00']]
625642,[['16:04:00', '16:53:00']]
970218,[['16:04:00']]
1065099,[['16:04:00', '16:28:00']]
1484314,[['16:04:00', '16:28:00']]
1484315,[['16:04:00']]
958482,[['16:08:00', '16:13:00']]
489873,[['16:08:00', '16:13:00']]
2132716,[['16:08:00', '16:23:00']]
61485,[['16:08:00']]
1664362,[['16:08:00', '16:33:00']]
1334675,[['16:08:00']]
1319236,[['16:08:00', '16:23:00']]
958484,[['16:08:00', '16:13:00']]
958483,[['16:08:00', '16:13:00']]
3501540,[['16:13:00', '16:33:00']]
3327864,[['16:13:00', '16:23:00']]
3145271,[['16:13:00', '16:28:00']]
2586318,[['16:13:00']]
1521667,[['16:13:00']]
1305827,[['16:13:00', '16:28:00']]
1305826,[['16:13:00', '16:28:00']]
1305825,[['16:13:00', '16:28:00']]
1305824,[['16:13:00', '16:28:00']]
1079861,[['16:13:00', '16:38:00']]
913711,[['16:13:00']]
461490,[['16:13:00', '16:23:00']]
456830,[['16:13:00', '16:33:00']]
422150,[['16:13:00', '16:38:00']]
233673,[['16:13:00', '16:33:00']]
233672,[['16:13:00', '16:28:00']]
61484,[['16:13:00']]
59608,[['16:19:00', '16:28:00']]
488727,[['16:19:00', '16:28:00']]
